Ruund	French
Aam nid kwaam nkay chilil mwaan, chikweeza kumudya mwaan chikudyook mukan mweey	Je ne suis quant à moi qu’une simple antilope nourricière du petit, ce qui le tuera c’est ta parole malveillante.
Aay aana, aay iin twuvum	D’un côté vous avez des enfants chéris, de l’autre vous avez des enfants discriminés.
Adaap ngendj, mwiiningand madyaaj mend	Le visiteur est toujours le mieux servi, n’en déplaise à l’enfant du pays.
Adangang kwend, piikil anch afangang kwend	Mieux vaut souhaiter que le prochain vive le plus longtemps possible et non pas qu’il meurt si vite de sa belle mort.
Akandiling payaaw, piikil anch ezakw kal ni mash	Mieux vaut prévenir que guérir
Akaat kubul mband ni kumubachikin mu chikumbw, anch wamubachikin pool wamupaan kal kudy akween	On corrige une femme discrètement sous le toit conjugal et non en public sinon on l’expose à ce dernier.
Akaat kwiijik wuseey wa matakw, ching ashakatina	On ne connaît la valeur des fesses que quand on s’assied.
Akubaaz kujiik af, eey ciwujiik kaamw ni aleela twul ee ?	On te loue de savoir enterrer les morts, toi de commencer d’enterrer même les vivants.
Akubul pa chiikw, ey anch piikil wakangambany ee!	On te frappe publiquement, toi de souhaiter qu’on ne te dénonce pas.
Akuda masang atwujil, akufa mashing antw	Aux oiseaux de consommer le millet, mais aux hommes d’en subir les injures.
Akujimbul piibur, mwaneey wudap	Si ton nom est cité à la cour du roi c’est que le pouvoir t’attend.
Akuman pool, akutwa wurund	 En ta présence au village, les adversaires font semblant d’être sympathiques avec toi.
Akumatikang mutond, kakumatikangap diizw da muntw	On peut enjamber un arbre, jamais une parole de quelqu’un ; on ne néglige jamais un conseil.
Akupandil moon, akuleej mwa kwiiyeep	Le mal qu’on veut à quelqu’un d’autre se retourne parfois contre soi-même.
Akusengurul akusha pool, eey anch mbandilanyamw rida musaj/maany	Quand on te dénigre sur la place publique, il ne faut pas demander qu’on t’offre un morceau de foufou trempée dans bonne sauce.
Akusengurul, eey weel eey àtwùmeen wuntw ee!	On ne redore jamais son image de marque auprès de ses détracteurs.
Akweel anch muyimpa, eey wateekamw reey ra kwiitaljool ee!	Lorsqu’on te traite de méchant, il ne sert à rien de chercher où se trouve ta perfection.
Akweeta mees kaaman atwendj, chaad leel etw akweeta miriny	L’humilité précède la gloire, dit-on. Les juristes diraient : ‘’Nul ne peut se prévaloir de ses propres turpitudes’’
Akweeta milamw yilemp leel adil ambemb	Ceux qui ont une malformation aux lèvres ne sauraient se régaler de fourmis ailées ‘‘ambemb’’ si succulentes.
Alaj dangany angendj, iin wul twukeepilany	Entre deux maux, il faut choisir le moindre mal.
Alondang alondang, amman aam aneeneet	On aime souvent parler du mal de quelqu’un quand il est absent.
Amband kakutwungangap wul	Entre elles les femmes ne s’entendent jamais.
Amband kakweetingap kwaaw mwant	Les femmes n’ont d’égard à personne surtout lorsqu’on a eu une liaison amoureuse avec elle.
Amband pa chiikw, ad pa muntw pa muntw	Quand on rencontre les femmes au marché, sachez que chacune a son mari.
Ampuch asweejina nakash, awuy akudiilangaaw wooch	: Les abeilles dangereuses sont celles pour lesquelles on peut se targuer d’en avoir exploré la ruche afin d’y extraire le miel.
Ampukw aad mu diilong, milong ya antw aad kangal kuyikatwul	Il ne faut pas voir des problèmes là où il n’y en a pas, c’est une perte inutile de temps.
Ampukw aad mu rangeen	S’il y en a pour un, il y en a pour tous.
Amubul nkim, muyeny wasip	Lorsqu’on punit quelqu’un, le voisin ne doit pas s’en moquer ; il doit plutôt en tire une leçon pour son propre compte
Ampur kakwiibombangap mu diisomp dimwing	 Les vers de palmier ne s’assemblent jamais une même coquille.
Amuchiin muchengur/kapengur, wamuchiin naw	Un danger pour les autres est aussi ton danger aussi.
Amudil Mweez, eey anch Mweez nginkaap kasw	Lorsque quelqu’un est mort, il ne peut plus revenir à la vie.
Amushiila waya mu twul, waya mu kwend waya mu kudya	On garde à manger pour celui qui s’endort, on ne laisse rien au voyageur qui est servi où il s’en est allé
Amvaaj ad akemp, avud awumb	Des parents responsables sont peu nombreux, la plupart sont des irresponsables.
